"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.17808560","0.19824240","0.17700000","0.18002820","0.18630533","3972","XRP","","7936977.498142999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1478701.246688663","2017-08-10T23:46:01Z","2017-08-10T23:46:01Z","2017-08-08T00:00:00Z","NaN"
"0.17946615","0.18220990","0.15871093","0.16617332","0.16962888","2719","XRP","","5508085.222702008","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","934330.3452176208","2017-08-13T23:47:41Z","2017-08-13T23:47:41Z","2017-08-11T00:00:00Z","510904.6433879532"
"0.16768224","0.17981611","0.14962704","0.15839680","0.16180313","5948","XRP","","13770699.76636996","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2228142.258600208","2017-08-16T23:57:12Z","2017-08-16T23:57:12Z","2017-08-14T00:00:00Z","528513.4186936531"
"0.15877250","0.16916447","0.14810000","0.15100075","0.15729615","4506","XRP","","11286471.17732001","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1775318.519354358","2017-08-19T23:58:42Z","2017-08-19T23:58:42Z","2017-08-17T00:00:00Z","84692.53486363737"
"0.15088676","0.25100276","0.14819214","0.24130610","0.19077330","8747","XRP","","18110138.56329398","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3454930.872948466","2017-08-22T23:58:21Z","2017-08-22T23:58:21Z","2017-08-20T00:00:00Z","173354.38360639606"
"0.24045182","0.30000000","0.20168268","0.21756977","0.25257816","16875","XRP","","24663350.39504899","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","6229423.646154504","2017-08-25T23:53:51Z","2017-08-25T23:53:51Z","2017-08-23T00:00:00Z","7183036.893015807"
"0.21686450","0.24703557","0.19230769","0.22326417","0.21301700","6688","XRP","","13089467.96712299","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2788279.257229489","2017-08-28T23:51:42Z","2017-08-28T23:51:42Z","2017-08-26T00:00:00Z","99.0797235335974"
"0.22309765","0.26300000","0.21383740","0.25821398","0.22953425","4924","XRP","","9920234.996241014","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2277033.729205348","2017-08-31T23:59:21Z","2017-08-31T23:59:21Z","2017-08-29T00:00:00Z","225626.49526457756"
"0.25756490","0.25960913","0.21960788","0.23023253","0.24056381","5155","XRP","","7560698.610250008","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1818830.42820419","2017-09-03T23:53:40Z","2017-09-03T23:53:40Z","2017-09-01T00:00:00Z","NaN"
"0.22977759","0.23100000","0.18999997","0.22947230","0.20823547","7644","XRP","","14879961.73067701","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3098535.777822601","2017-09-06T23:44:41Z","2017-09-06T23:44:41Z","2017-09-04T00:00:00Z","1539000.1264383644"
